method,sid,sequence_identity,sequence_similarity,len
esm,1JRH_I,0.37894736842105264,0.5578947368421052,95
mpnn,1JRH_I,0.43157894736842106,0.6,95
baseline,1JU5_C,1.0,1.0,60
carbonara_maxseqid,1JU5_C,0.35,0.5333333333333333,60
carbonara_minseqid,1JU5_C,0.15,0.43333333333333335,60
carbonara_minseqsim,1JU5_C,0.15,0.23333333333333334,60
esm,1JU5_C,0.3,0.5,60
mpnn,1JU5_C,0.3,0.55,60
baseline,1KBH_B,1.0,1.0,59
carbonara_maxseqid,1KBH_B,0.3050847457627119,0.5254237288135594,59
carbonara_minseqid,1KBH_B,0.1016949152542373,0.4067796610169492,59
carbonara_minseqsim,1KBH_B,0.1016949152542373,0.11864406779661017,59
esm,1KBH_B,0.1694915254237288,0.3898305084745763,59
mpnn,1KBH_B,0.1694915254237288,0.4406779661016949,59
baseline,1KKL_H,1.0,1.0,86
carbonara_maxseqid,1KKL_H,0.5,0.6744186046511628,86
carbonara_minseqid,1KKL_H,0.18604651162790697,0.5930232558139535,86
carbonara_minseqsim,1KKL_H,0.18604651162790697,0.43023255813953487,86
esm,1KKL_H,0.6511627906976745,0.7674418604651163,86
mpnn,1KKL_H,0.47674418604651164,0.6627906976744186,86
baseline,1KKL_I,1.0,1.0,87
carbonara_maxseqid,1KKL_I,0.5172413793103449,0.6666666666666666,87
carbonara_minseqid,1KKL_I,0.13793103448275862,0.5517241379310345,87
carbonara_minseqsim,1KKL_I,0.13793103448275862,0.39080459770114945,87
esm,1KKL_I,0.6091954022988506,0.7586206896551724,87
mpnn,1KKL_I,0.4942528735632184,0.632183908045977,87
baseline,1KKL_J,1.0,1.0,88
carbonara_maxseqid,1KKL_J,0.5454545454545454,0.7045454545454546,88
carbonara_minseqid,1KKL_J,0.22727272727272727,0.6363636363636364,88
carbonara_minseqsim,1KKL_J,0.23863636363636365,0.4431818181818182,88
esm,1KKL_J,0.6477272727272727,0.7840909090909091,88
mpnn,1KKL_J,0.5568181818181818,0.6818181818181818,88
baseline,1P1A_A,1.0,1.0,85
carbonara_maxseqid,1P1A_A,0.35294117647058826,0.5411764705882353,85
carbonara_minseqid,1P1A_A,0.10588235294117647,0.43529411764705883,85
carbonara_minseqsim,1P1A_A,0.10588235294117647,0.21176470588235294,85
esm,1P1A_A,0.43529411764705883,0.611764705882353,85
mpnn,1P1A_A,0.29411764705882354,0.4588235294117647,85
baseline,1P4B_L,1.0,1.0,110
